# beat,block,tract,knox_sums,Jan_Mar_ave,Apr_Jun_ave,Jul_Sep_ave,Oct_Dec_ave,expburgs,baseline
513.0, 4910004033.0, 491000.0, 0.0, 0.188889, 0.177778, 0.244444, 0.166667, 0.0, 0.00497076315789
512.0, 4910004000.0, 491000.0, 0.0, 0.188889, 0.177778, 0.244444, 0.166667, 0.0, 0.00497076315789
512.0, 4910004002.0, 491000.0, 0.0, 0.188889, 0.177778, 0.244444, 0.166667, 0.0, 0.00497076315789
513.0, 4910004017.0, 491000.0, 2.94750932903, 0.188889, 0.177778, 0.244444, 0.166667, 0.0146513707803, 0.00497076315789
512.0, 4910005006.0, 491000.0, 0.758949880667, 0.188889, 0.177778, 0.244444, 0.166667, 0.00377256010551, 0.00497076315789
512.0, 4910005005.0, 491000.0, 3.09115708785, 0.188889, 0.177778, 0.244444, 0.166667, 0.0153654097675, 0.00497076315789
513.0, 4910005009.0, 491000.0, 2.09065628476, 0.188889, 0.177778, 0.244444, 0.166667, 0.0103921572361, 0.00497076315789
512.0, 4910001013.0, 491000.0, 0.0, 0.188889, 0.177778, 0.244444, 0.166667, 0.0, 0.00497076315789
513.0, 4910005028.0, 491000.0, 1.90899512574, 0.188889, 0.177778, 0.244444, 0.166667, 0.00948916263963, 0.00497076315789
513.0, 4910002008.0, 491000.0, 1.90899512574, 0.188889, 0.177778, 0.244444, 0.166667, 0.00948916263963, 0.00497076315789
513.0, 4910002014.0, 491000.0, 0.965983224606, 0.188889, 0.177778, 0.244444, 0.166667, 0.00480167382402, 0.00497076315789
513.0, 4910002033.0, 491000.0, 0.0, 0.188889, 0.177778, 0.244444, 0.166667, 0.0, 0.00497076315789
1614.0, 7608033000.0, 760803.0, 0.0, 0.011111, 0.044444, 0.011111, 0.066667, 0.0, 0.000292394736842
1614.0, 7608034002.0, 760803.0, 0.0, 0.011111, 0.044444, 0.011111, 0.066667, 0.0, 0.000292394736842
1731.0, 1510022019.0, 151002.0, 0.0, 0.022222, 0.033333, 0.033333, 0.1, 0.0, 0.000584789473684
1731.0, 1510022014.0, 151002.0, 0.0, 0.022222, 0.033333, 0.033333, 0.1, 0.0, 0.000584789473684
1731.0, 1510022016.0, 151002.0, 0.0, 0.022222, 0.033333, 0.033333, 0.1, 0.0, 0.000584789473684
1731.0, 1510024003.0, 151002.0, 0.0, 0.022222, 0.033333, 0.033333, 0.1, 0.0, 0.000584789473684
1731.0, 1510024002.0, 151002.0, 0.0, 0.022222, 0.033333, 0.033333, 0.1, 0.0, 0.000584789473684
1132.0, 2610002010.0, 261000.0, 1.54296875, 0.044444, 0.077778, 0.055556, 0.055556, 0.00180462376645, 0.00116957894737
1132.0, 2610002008.0, 261000.0, 0.771484375001, 0.044444, 0.077778, 0.055556, 0.055556, 0.000902311883225, 0.00116957894737
1132.0, 2610002005.0, 261000.0, 1.65763087182, 0.044444, 0.077778, 0.055556, 0.055556, 0.00193873017019, 0.00116957894737
1131.0, 2610001019.0, 261000.0, 0.0, 0.044444, 0.077778, 0.055556, 0.055556, 0.0, 0.00116957894737
1132.0, 2610002021.0, 261000.0, 1.54296875, 0.044444, 0.077778, 0.055556, 0.055556, 0.00180462376645, 0.00116957894737
1132.0, 2610002029.0, 261000.0, 0.771484375001, 0.044444, 0.077778, 0.055556, 0.055556, 0.000902311883225, 0.00116957894737
2223.0, 7305004000.0, 730500.0, 0.0, 0.111111, 0.111111, 0.055556, 0.055556, 0.0, 0.00292397368421
2232.0, 7305003008.0, 730500.0, 0.0, 0.111111, 0.111111, 0.055556, 0.055556, 0.0, 0.00292397368421
2232.0, 7305003003.0, 730500.0, 0.0, 0.111111, 0.111111, 0.055556, 0.055556, 0.0, 0.00292397368421
2223.0, 7305004031.0, 730500.0, 1.11901889827, 0.111111, 0.111111, 0.055556, 0.055556, 0.00327198181068, 0.00292397368421
2223.0, 7305004024.0, 730500.0, 1.05368956743, 0.111111, 0.111111, 0.055556, 0.055556, 0.00308096056649, 0.00292397368421
2223.0, 7305001030.0, 730500.0, 0.0, 0.111111, 0.111111, 0.055556, 0.055556, 0.0, 0.00292397368421
2232.0, 7305004046.0, 730500.0, 0.0, 0.111111, 0.111111, 0.055556, 0.055556, 0.0, 0.00292397368421
2531.0, 2504003003.0, 250400.0, 0.0, 0.0, 0.088889, 0.088889, 0.088889, 0.0, 0.0
2531.0, 2504003007.0, 250400.0, 0.0, 0.0, 0.088889, 0.088889, 0.088889, 0.0, 0.0
2514.0, 1904021029.0, 190402.0, 0.0, 0.055556, 0.055556, 0.044444, 0.033333, 0.0, 0.001462
2514.0, 1904022016.0, 190402.0, 0.940524193548, 0.055556, 0.055556, 0.044444, 0.033333, 0.00137504637097, 0.001462
2514.0, 1904021010.0, 190402.0, 0.0, 0.055556, 0.055556, 0.044444, 0.033333, 0.0, 0.001462
2514.0, 1904021015.0, 190402.0, 0.0, 0.055556, 0.055556, 0.044444, 0.033333, 0.0, 0.001462
833.0, 7002001007.0, 700200.0, 0.0, 0.077778, 0.033333, 0.044444, 0.088889, 0.0, 0.00204678947368
833.0, 7002001005.0, 700200.0, 0.0, 0.077778, 0.033333, 0.044444, 0.088889, 0.0, 0.00204678947368
833.0, 7002001009.0, 700200.0, 0.0, 0.077778, 0.033333, 0.044444, 0.088889, 0.0, 0.00204678947368
834.0, 7002002007.0, 700200.0, 0.0, 0.077778, 0.033333, 0.044444, 0.088889, 0.0, 0.00204678947368
834.0, 7002004009.0, 700200.0, 0.0, 0.077778, 0.033333, 0.044444, 0.088889, 0.0, 0.00204678947368
